index,text,emotion
0,अभी तक साले ने डिलीवरी नहीं दी ,angry
1,इत्ता परेशान मै पहले कभी नहीं हुआ ,angry
2,मई बहुत पीड़ित हु,sad
3,ट्रैन टिकट अपने आप कैंसिल कैसे हो गयी ,sad
4,फ्लाइट टिकट अवेलेबल है क्या ,neutral
5,होटल को कितनी रेटिंग मिली है ,neutral
6,अरे ये कैसे होगा यार ,sad
7,अरे बढ़िया एक हेल्प कर दो सारथी,neutral
8,मस्त बारिश हुई आज वाह ,happy
9,आज का मौसम बहुत बढ़िया है यार ,happy
10,कब तक रिचार्ज हो जाएगा मेरा ,neutral
11,होटल तो लाजवाब है ,happy
12,वाह ! ! ! क्या मौसम है ,happy
13,काश ये पहले हो जाता ,sad
14,क्या हाल चाल है ,neutral
15,थैंक्यू वैरी मच ,happy
16,मै तो बहुत खुश हूँ ये एप्प यूस करके ,happy
17,मेरी बुकिंग हो गई क्या ,neutral
18,साले मेरा पैसा कब तक आएगा ,angry
19,क्या वाहियात है यार ,angry
20,मेरा बैलेंस कैसे ख़तम हो सकता है पागल  ,angry
21,एक ही बात कितने बार बोलोगे ,angry
22,होटल की लोकेशन अच्छी नही थी ,sad
23,ट्रैन बुकिंग कैसे करू समझ में नहीं आ रहा है ,neutral
24,जल्दी कर यार तू रिचार्ज लौड़े ,angry
25,यार मै बहुत परेशान हो गया हु ,sad
26,एक भी सही चीज नहीं बताई तुमने,angry
27,कैब ड्राइवर गधा था ,sad
28,और सुनाओ ,neutral
29,मेरा दिमाग खराब हो गया है इसे रास्ता बताते ,angry
30,तुम और बेटर कर सकते हो ,sad
31,धन्यवाद भाई ,happy
32,वाओ बैंगलोर की ट्रेन मिल गई,happy
33,मुझे तुमसे और एक्सपेक्टेशंस थी ,sad
34,आज तक की सबसे बेकार सर्विस थी ,sad
35,एप्प बार बार फस क्यों रहा है ,angry
36,सबसे सस्ती फ्लाइट कैसे पता चलेगी ,neutral
37,अबे ये एप्प कितना फसता है ,angry
38,तुमसे अच्छा गधे से काम करा लूं,angry
39,उस होटल में मज़ा नहीं आया,sad
40,मुझे बहुत गुस्सा आ रहा है ,angry
41,अगले महीने की फ्लाइट की टिकट करा दो बेंगलुरु से दिल्ली की,neutral
42,जल्दी एक ट्रैन का टिकट बुक करो ,neutral
43,गए गुजरे हो तुम हरामजादे,angry
44,ये काम बहुत अच्छा किया तूने ,happy
45,काफी मदद कर दी तूने,happy
46,होटल में स्विमिंग पूल और बार नहीं था यार ,sad
47,क्या बात है ,happy
48,होटल का खाना वाहियात था ,sad
49,मेहरबानी आपकी,happy
50,इस एप को और बेहतर कर सकते हो ,sad
51,मुझे सेफ फील नहीं हो रहा था ,sad
52,कहाँ से होगा बे तेरा रिचार्ज  ,angry
53,क्या बकवास पैक्स हैं ,angry
54,एप मे दम नहीं है ,sad
55,सर्विस इम्प्रूव करो ,sad
56,इनका सर्विस समझ के बाहर है ,sad
57,कब तक एक ही बात बोलोगे ,angry
58,तुरंत एक कैब बुलाओ ,neutral
59,क्या बतमीज़ी है यार ,angry
60,कैब ड्राइवर के अगेंस्ट एक कंप्लेन करो,angry
61,मेरी ट्रैन टाइम से चल रही है ना ,neutral
62,मेरे को तुम्हारा सर्विस उतना अच्छा नहीं लगा,sad
63,ये चैनल कैसे चालू करूँ ,neutral
64,मेरे ट्रैन का बुकिंग फेल हो रहा है बार बार ,angry
65,लाजवाब ,happy
66,हमेशा ऐसे कैसे हो जाता है बेवकूफ एप,angry
67,तुम्हारे वजह से बेज़त्ति हो गयी मेरी,angry
68,मौसम क्या सुहाना है ,neutral
69,आ हा ! ! ! क्या बात है ,happy
70,यह तो खराब हुआ,sad
71,बहुत परेशान करता है ये एप ,angry
72,मेरा अकाउंट कब तक चलेगा ,neutral
73,तुमसे अच्छा तोह मै खुद ही कर लूं,angry
74,ये कैसा घटिया प्लान है ,angry
75,एक बढ़िया सा होटल बुक करो ,neutral
76,गवार एप ,angry
77,अरे वाह क्या सर्विस है ,happy
78,बेहतरीन ऐप है भाई,happy
79,वाकई तारीफ के काबिल है ,happy
80,परसों का कोई फ्लाइट टिकट्स दिखाओ अहमदाबाद से ग्वालियर का,neutral
81,एप में और सुधार लाओ ,sad
82,तू तो बहुत समझदार है ,happy
83,यार मेरे पैसे वापस कब मिलेंगे ,sad
84,मेरे अकाउंट में कितना राशि बचा है ,neutral
85,कब तक ख़त्म हो जायेंगे मेरे अकाउंट के पैसे ,neutral
86,तुमने तो कमाल कर दिया ,happy
87,मज़ा नहीं आया इस बार,sad
88,यार फ्लाइट ने जीना हराम कर दिए है ,sad
89,होटल वालों का बिहेवियर अच्छा नहीं था,sad
90,अपना पैक अपने पास रख ,angry
91,बहुत बढ़िया हुआ कि पैसे समय से पहले आ गए ,happy
92,आज मज़ा नहीं आया ,sad
93,अरे ये चैनल कैसे लॉक हो गया गधे ,angry
94,पागल बना रखा है इस एप ने ,angry
95,ट्रेन क्या टाइम स्टेशन पहुंचेगी,neutral
96,मै तुमसे नाखुश हू ,sad
97,खुश हुआ मैं ,happy
98, तुझे एक बार मैं समझ नहीं आता क्या ,angry
99,हमें आपसे ये उम्मीद नहीं थी,sad
100,अपने आप को समझ क्या रखा है तूने कुत्ते ,angry
101,शिट यार फिर से चैनल्स बंद हो गए ,sad
102,कुछ भी बोल रहे हो यार ,angry
103,हरामज़ादे ,angry
104,वूहू ! ! मज़ा आ गया ,happy
105,इतना अच्छा सर्विस दिया तो ख़ुशी से मै और पैसे दे दूँ ,happy
106,क्या इतना खर्च करना सही होगा ,neutral
107,हाल फिलहाल में बारिश होने वाली है क्या,neutral
108,कैसी घटिया सर्विस है तुम्हारी ,angry
