index,text,emotion
0,अरे! तुम्हारा लड़का बड़ा उजड्ड है!,surprise
1,अरे! न-जाने कहाँ चला गया,surprise
2,तब तो मेरा घर में रहना भी मुश्किल हो जायगा!,fear
3,तुम क्या बक रहे हो?,surprise
4,मैं अब इस मनहूसत का अन्त कर देना चाहता हूँ,angry
5,“पड़ने दो बैल का जन्म लिया है तो मार से कहां तक बचेंगे”,disgust
6,“मालकिन मुझे मार ही डालेंगी”,fear
7,4 लीला का स्वास्थ्य पहले भी कुछ अच्छा न था अब तो वह और भी बेजान हो गयी,sad
8,५ मिनट में ऑटो बुक कर सकते हो क्या,neutral
9,अगर तू यहाँ थोड़ी देर तक भी दिखाई दिया तो मैं स्वयं को न सँभाल सकूँगा और तुझे कठोर दंड दूँगा,angry
10,अगले महीने की फ्लाइट की टिकट करा दो बेंगलुरु से दिल्ली की,neutral
11,अचानक आसमान में रंग-बिरंगे गुब्बारे दिखे और बच्चों के चेहरे पर हैरानी थी।,surprise
12,अचानक उसके फोन पर एक अजीब संदेश आया और वह हैरान रह गया।,surprise
13,अचानक उसे अपने कंधे पर किसी का हाथ महसूस हुआ और वह डर के मारे चिल्ला उठी जैसे कोई अदृश्य शक्ति उसे छू रही हो।,fear
14,अचानक उसे अपने कंधे पर किसी का हाथ महसूस हुआ और वह डर के मारे चिल्ला उठी।,fear
15,अचानक उसे महसूस हुआ कि उसका कमरा बहुत ठंडा हो गया है और उसे किसी अनदेखी शक्ति का आभास हुआ जिससे वह घबरा गया।,fear
16,अचानक उसे महसूस हुआ कि उसका कमरा बहुत ठंडा हो गया है और उसे किसी अनदेखी शक्ति का आभास हुआ।,fear
17,अचानक उसे महसूस हुआ कि उसके बिस्तर के नीचे कोई छुपा हुआ है और वह डर के मारे उठ बैठा।,fear
18,अचानक उसे लगा कि कोई उसके बगल में बैठा है जबकि कमरे में और कोई नहीं था और वह डर के मारे उठ बैठी।,fear
19,अचानक उसे लगा कि कोई उसके बगल में बैठा है जबकि कमरे में और कोई नहीं था।,fear
20,अचानक बिजली का तेज झटका लगा और हम सब चौंक उठे।,surprise
21,अचानक बिजली का तेज झटका लगा।,surprise
22,अचानक बिजली चली गई और उसे लगा कि कोई उसके करीब आ रहा है जिससे वह डर के मारे कांपने लगा और उसने अपनी आंखें बंद कर लीं।,fear
23,अचानक बिजली चली गई और उसे लगा कि कोई उसके करीब आ रहा है।,fear
24,अचानक बिजली चली गई और पूरा घर अंधेरे में डूब गया जिससे बच्चे डर के मारे चिल्ला उठे।,fear
25,अलगू चौधरी फूले न समाये,happy
26,अरे! यह भी कोई अच्छे लच्छन हैं,angry
27,अरे! यह किसने फेंका है? बहुत गंदा लग रहा है।,disgust
28,अरे यह तो बहुत ही गंदा है इसे तुरंत साफ करो।,disgust
29,अरे यह जगह तो पूरी तरह से गंदगी से भरी हुई है।,disgust
30,अरे मुझे तो यकीन ही नहीं हो रहा है कि यह वही व्यक्ति है जिसे मैं जानता हूं।,surprise
31,अरे तुमने ये जूते इतने गंदे क्यों कर लिए हैं?,disgust
32,अरे तुमने यह सड़े हुए फल क्यों रखे हैं? कितनी गंदगी है!,disgust
33,अरे इस गंदगी को देखकर मुझे तो उल्टी आ रही है।,disgust
34,अरे वाह!मजे से खा रहे हैं,happy
35,अरे वाह! लोग आपस में गले मिल रहे हैं,happy
36,अरे वाह! लड़के सबसे ज्यादा प्रसन्न हैं,surprise
37,अरे वाह! इन्हीं अनगिनती पैसों में अनगिनती चीजें लायेंगें- खिलौने मिठाइयाँ बिगुल गेंद और जाने क्या-क्या,happy
38,अरे वाह! अम्मीजान अल्लाह मियाँ के घर से उसके लिए बड़ी अच्छी-अच्छी चीजें लाने गयी हैं इसलिए हामिद प्रसन्न है,happy
39,अरे वाह क्या सर्विस है,happy
40,अरे वाह क्या बात है,happy
41,अरे वाह इतनी जल्दी हो भी गया,happy
42,अरे वाह !स्कूल में सब अध्यापक उससे बहुत प्रभावित थे और उसकी तारीफ करते थे,surprise
43,अरे वाह,happy
44,अरे ये चैनल्स क्यों नहीं आ रहा चूतिये,angry
45,अरे ये चैनल कैसे लॉक हो गया गधे,angry
46,अरे ये कैसे होगा यार,sad
47,अरे यार ये कैब वाला लगता है परसों आएगा,sad
48,अरे यार कस्टमर केयर को कॉल लगाते लगाते परेशान हो गया हु,sad
49,अरे बोलो भाई,sad
50,अरे बाप रे! मुझे यह सुनकर हैरानी हो रही है कि तुमने इतनी जल्दी सब कुछ सीख लिया।,surprise
51,अरे बढ़िया एक हेल्प कर दो सारथी,neutral
52,अरे बढ़िया,happy
53,अरे देखो हिंडोला है एक पैसा देकर चढ़ जाओ,surprise
54,अमीना का दिल कचोट रहा है | बहुत दुख की बात है!,sad
55,अभी तुम इन लोगों के पीछे नंगी तलवारें लिए खड़े रहो,angry
56,अभी तक साले ने डिलीवरी नहीं दी,angry
57,अभी के अभी बुक करो,neutral
58,अभागे के पास तीन पैसे हैं,sad
59,अभागिन अमीना अपनी कोठरी में बैठी रो रही है,sad
60,अबे रिचार्ज कर चुप चाप से,angry
61,अबे ये एप्प कितना फसता है,angry
62,अबे भोसड़ीके,angry
63,अबे चूतियों वाली बातें मत करो,angry
64,अबे गांडू हो क्या ?,angry
65,अबे क्या मुझे तू उल्लू समझ रहा है,angry
66,अबे एक ओयो बुक कर दो भाई के लिए,neutral
67,अब हामिद अपनी बूढ़ी दादी अमीना की गोद में सोता है और उतना ही प्रसन्न है,neutral
68,अब सुख की लालसा नहीं है,sad
69,अब मेरे सामने इसके अलावा कोई रास्ता नहीं रहा कि मैं भीख माँग कर पेट पालूँ,fear
70,अब मिले तो उस कलमुँही की बोटियाँ नोच लूँ,angry
71,अब तो यहाँ से यूँ ही वापस नहीं जा सकती,fear
72,अब तो कुल दो आने पैसे बच रहे हैं | अफसोस!,sad
73,अब तुम्हें चाँदी के पिंजड़े में रखूँगा और सोने से मढ़ दूँगा,happy
74,अब जल्दी पड़ी है कि लोग ईदगाह क्यों नहीं चलते,neutral
75,अब चारों ओर अन्धकार था,surprise
76,अब क्या करूँ,neutral
77,अब उसने द्वार खोल दिये और खड़ी बुली रही है,happy
78,अफसोस! इस अंधकार और निराशा में वह डूबी जा रही है,sad
79,अपने पैसे क्यों नहीं निकालते,angry
80,अपने कोष का एक तिहाई जरा-सा चक्कर खाने के लिए नहीं दे सकता,sad
81,अपने आप को समझ क्या रखा है तूने कुत्ते,angry
82,अपनी गलती का एहसास कर भीम सिंह ने रामलाल से माफ़ी मांगी,fear
83,अपना-अपना दिल ही तो है,neutral
84,अपना पैक अपने पास रख,angry
85,अंधेरे कमरे में घुसते ही उसे एक डरावनी आवाज सुनाई दी और वह पीछे हट गई।,fear
86,अंधेरे कमरे में घुसते ही उसे एक डरावनी आवाज सुनाई दी और वह पीछे हट गई उसका दिल तेजी से धड़कने लगा।,fear
87,अंधेरी रात में किसी के कदमों की आहट सुनकर उसके दिल की धड़कनें तेज हो गईं।,fear
88,अंधेरी गली में चलते समय उसे लगा कि कोई उसका पीछा कर रहा है।,fear
89,अंदर लीला जमीन पर पड़ी हुई रो रही थी,sad
90,अंतिम समय कब तक है रिचार्ज करने की,neutral
91,अंतिम तिथि क्या है मेरे अकाउंट बंद होने की,neutral
92,अंत में सब ओर से निराश होकर जहाज के कप्तान के पास गया और उसके पाँवों पर लौटने लगा,fear
93,अजीब पागल हो तुम बे,angry
94,अच्छे बुकिंग के लिए धन्यवाद,happy
95,अच्छी कैब मिल गयी  वाह ! !,happy
96,अच्छा हुआ अकाउंट बंद नहीं हुआ,happy
97,अच्छा काम किया भाई,happy
98,अच्छा एक्सपीरिएंस नहीं था,sad
99,अचानक मैंने एक सुंदर पंछी देखा।,surprise
100,अचानक मैंने एक सुंदर पंछी देखा।,surprise
101,अचानक मेरी कार के टायर पंचर हो गए।,surprise
102,अचानक मेरी कार के टायर पंचर हो गए।,surprise
103,अचानक मुझे एक पुरानी तस्वीर मिली।,surprise
104,अचानक मुझे एक पुराना दोस्त मिल गया।,surprise
105,अचानक मुझे एक पुराना दोस्त मिल गया।,surprise
106,अचानक मुझे एक चिट्ठी मिली।,surprise
107,अचानक मुझे एक चिट्ठी मिली।,surprise
108,अचानक मुझे एक अनजान फोन कॉल आया।,surprise
109,अचानक मुझे एक अनजान कॉल आया।,surprise
110,असली चाय के कप में गंदगी देखकर उसने सोचा कि वह कभी भी यहाँ फिर से चाय नहीं पीएगा।,disgust
111,आ हा ! ! ! क्या बात है,happy
112,आ हा ! सारथी तुम बेस्ट हो,happy
113,आ हा सारथी तुम लाजवाब हो,happy
114,आई वॉस एक्सपेक्टिंग मोर,sad
115,आखरी तारीख क्या है बैलेंस एक्सपायर होने में,neutral
116,आगे क्या करना समझ नहीं आ रहा है,neutral
117,आँचल फैलाकर आपसे भीख माँगती हूँ उसको क्षमा-दान दीजिए,fear
118,आज आबिद होता तो क्या इसी तरह ईद आती ओर चली जाती,sad
119,आज का तापमान क्या है,neutral
120,आज का मौसम कैसा है,neutral
121,आज का मौसम बताओ,neutral
122,आज का मौसम बहुत बढ़िया है यार,happy
123,आज का सूर्य देखो कितना प्यारा कितना शीतल है यानी संसार को ईद की बधाई दे रहा है,happy
124,आज के दिन काफी सारे काम हो जाते है,neutral
125,आज खूब सजी हुई थीं । वाह!,surprise
126,आज तक की सबसे बेकार सर्विस थी,sad
127,आज तो काफी अच्छा ऑफर चल रहे,happy
128,आज बच्चे होते तो अच्छे-अच्छे कपड़े पहने कैसे उछलते-फिरते,sad
129,आज मज़ा नहीं आया,sad
130,आज मैंने उसे अपने आभूषण पहनकर मुस्कराते हुए देखा तो मेरी आत्मा पुलकित हो उठी,happy
131,आजका मौसम गन्दा है,sad
132,आनंदी को भी क्रोध आ गया,angry
133,आप अपनी सर्विस अपने पास रखो,angry
134,आप ऐसे कैसे मेरा पैसा काट सकते हो,angry
135,आप भी उसकी लंबी-चौड़ी बातों के धोखे में आ जाते हैं,surprise
136,आप ही सोचो मैं अकेली जान इतनी आँधी भरी रात कहाँ जाऊँगी,fear
